2025-12-16 10:58:07.636 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2025.20.0-linux-x64/python-env-tools/bin/pet server
2025-12-16 10:58:09.780 [info] Discovered manager: (Pyenv) /usr/bin/pyenv
2025-12-16 10:58:09.784 [info] Discovered env: /root/.pyenv/versions/tf-env/bin/python
2025-12-16 10:58:09.809 [info] Discovered env: /root/.pyenv/versions/3.10.13/bin/python
2025-12-16 10:58:09.810 [info] Discovered env: /root/.pyenv/versions/3.11.8/bin/python
2025-12-16 10:58:09.810 [info] Discovered env: /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 10:58:09.811 [info] Discovered env: /usr/bin/python
2025-12-16 10:58:09.815 [info] Discovered env: /bin/python
2025-12-16 10:58:09.819 [info] Discovered env: /usr/bin/python2
2025-12-16 10:58:09.820 [info] Discovered env: /bin/python2
2025-12-16 10:58:09.839 [info] Locator Conda took 1.513849321s
2025-12-16 10:58:09.840 [info] Locator Homebrew took 2.308185ms
2025-12-16 10:58:09.840 [info] Locator LinuxGlobal took 1.723183607s
2025-12-16 10:58:09.840 [info] Locator PipEnv took 23.185µs
2025-12-16 10:58:09.840 [info] Locator Pixi took 16.371µs
2025-12-16 10:58:09.841 [info] Locator Poetry took 46.25895ms
2025-12-16 10:58:09.841 [info] Locator PyEnv took 402.534754ms
2025-12-16 10:58:09.842 [info] Locator Uv took 46.782711ms
2025-12-16 10:58:09.842 [info] Locator Venv took 13.792µs
2025-12-16 10:58:09.843 [info] Locator VirtualEnv took 37.722µs
2025-12-16 10:58:09.843 [info] Locator VirtualEnvWrapper took 15.882µs
2025-12-16 10:58:09.845 [info] Locator GlobalVirtualEnvs took 96.752µs
2025-12-16 10:58:09.845 [info] Locator Locators took 1.739565743s
2025-12-16 10:58:09.846 [info] Locator Path took 2.617732037s
2025-12-16 10:58:09.846 [info] Locator Workspaces took 951.895059ms
2025-12-16 10:58:09.847 [info] Refresh completed in 2618ms
2025-12-16 10:58:09.855 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 10:59:14.949 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:17:39.387 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:26:32.605 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:34:15.963 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:35:21.153 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:39:17.877 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:42:23.223 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:42:55.505 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:44:35.916 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:45:25.561 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:52:17.083 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:53:49.664 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:57:45.275 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:58:20.323 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:58:58.032 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 11:59:29.728 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:00:15.539 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:00:54.667 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:01:25.601 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:01:57.021 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:03:40.956 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:04:59.761 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:05:37.617 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:06:15.253 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:07:13.841 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:08:46.085 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:13:00.337 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:13:59.937 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:15:53.940 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:18:18.735 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:18:52.395 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:23:11.132 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:23:42.500 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:25:13.509 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:25:53.528 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:26:28.454 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:27:26.768 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:28:01.277 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:28:35.672 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:29:07.635 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:31:42.310 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:32:31.408 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:33:45.969 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:34:16.221 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:35:06.231 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:36:45.850 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 12:37:21.616 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:04:15.877 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:04:55.507 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:05:27.086 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:05:59.024 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:06:51.137 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:07:31.455 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:09:19.661 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:10:40.803 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:14:04.500 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:14:38.407 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:15:31.032 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:24:13.527 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:27:05.570 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:27:39.223 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:28:32.364 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
2025-12-16 13:29:11.699 [info] Resolved Python Environment /home/pablo/code/vulndb-5g/.venv/bin/python
